"Name","Graduation Rate by English Language Proficiency"
"Description","New York City public high school students who graduated as of June after four years of instruction.<br />
<br />
English Language Learners are students that classified as ELL as of graduation. English Language Proficient students includes students that never classified as ELLs, and students were declassified more than two year prior. Former English Language Learners are students who were classified as ELL in the prior two school years and are no longer ELL.&nbsp;"
"Source Notes","New York City Department of Education, Graduation Results (School Years 2004-05 to 2018-19); retrieved from&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results"">https://infohub.nyced.org/reports-and-policies/citywide-information-and-data/graduation-results</a>&nbsp;<a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a><a href=""http://schools.nyc.gov/Accountability/data/GraduationDropoutReports/default.ht""></a>"
"Notes","All data represent outcomes as of June after four years of instruction. In order to comply with FERPA regulations on public reporting of education outcomes, breakdowns where the number of students in the cohort is 5 or less are suppressed and maps and tables display ""no data"" or ""0"".<br />
<br />
Graduation rates for Former ELLs are not reported prior to 2009."
"Hunts Point, Port Morris",Former English Language Learners,2009,Percent,0.60377,SD8
"Hunts Point, Port Morris",English Language Proficient,2009,Percent,0.42993,SD8
"East Tremont, Morris Heights",English Language Learners,2009,Percent,0.47753,SD9
"East Tremont, Morris Heights",Former English Language Learners,2009,Percent,0.80645,SD9
"East Tremont, Morris Heights",English Language Proficient,2009,Percent,0.68721,SD9
"Riverdale, Kingsbridge, Fordham",English Language Learners,2009,Percent,0.37394,SD10
"Riverdale, Kingsbridge, Fordham",Former English Language Learners,2009,Percent,0.78723,SD10
"Riverdale, Kingsbridge, Fordham",English Language Proficient,2009,Percent,0.65284,SD10
"Eastchester, Baychester, Co-op City",English Language Learners,2009,Percent,0.39216,SD11
"Eastchester, Baychester, Co-op City",Former English Language Learners,2009,Percent,0.67797,SD11
"Eastchester, Baychester, Co-op City",English Language Proficient,2009,Percent,0.5904,SD11
"Crotona Park, Morrisania, Melrose",English Language Learners,2009,Percent,0.41463,SD12
"Crotona Park, Morrisania, Melrose",Former English Language Learners,2009,Percent,0.58333,SD12
"Crotona Park, Morrisania, Melrose",English Language Proficient,2009,Percent,0.4972,SD12
"Brooklyn Hts, Downtown Brooklyn",English Language Learners,2009,Percent,0.60241,SD13
"Brooklyn Hts, Downtown Brooklyn",Former English Language Learners,2009,Percent,0.86364,SD13
"Brooklyn Hts, Downtown Brooklyn",English Language Proficient,2009,Percent,0.74648,SD13
"Williamsburg, Greenpoint",English Language Learners,2009,Percent,0.46429,SD14
"Williamsburg, Greenpoint",Former English Language Learners,2009,Percent,0.85,SD14
"Williamsburg, Greenpoint",English Language Proficient,2009,Percent,0.65801,SD14
"S. Brooklyn, Park Slope, Sunset Park",English Language Learners,2009,Percent,0.17391,SD15
"S. Brooklyn, Park Slope, Sunset Park",Former English Language Learners,2009,Percent,0.55556,SD15
"S. Brooklyn, Park Slope, Sunset Park",English Language Proficient,2009,Percent,0.52826,SD15
Bedford Stuyvesant,English Language Learners,2009,Percent,0.2,SD16
Bedford Stuyvesant,Former English Language Learners,2009,Percent,0,SD16
Bedford Stuyvesant,English Language Proficient,2009,Percent,0.394,SD16
Crown Heights,English Language Learners,2009,Percent,0.42169,SD17
Crown Heights,Former English Language Learners,2009,Percent,0.91304,SD17
Crown Heights,English Language Proficient,2009,Percent,0.59593,SD17
"East Flatbush, Canarsie",English Language Learners,2009,Percent,0.46626,SD18
"East Flatbush, Canarsie",Former English Language Learners,2009,Percent,0.90909,SD18
"East Flatbush, Canarsie",English Language Proficient,2009,Percent,0.31553,SD18
East New York,English Language Learners,2009,Percent,0.25105,SD19
East New York,Former English Language Learners,2009,Percent,0.72222,SD19
East New York,English Language Proficient,2009,Percent,0.51192,SD19
"Bay Ridge, Bensonhurst",English Language Learners,2009,Percent,0.44044,SD20
"Bay Ridge, Bensonhurst",Former English Language Learners,2009,Percent,0.74242,SD20
"Bay Ridge, Bensonhurst",English Language Proficient,2009,Percent,0.617,SD20
"Gravesend, Coney Island",English Language Learners,2009,Percent,0.31193,SD21
"Gravesend, Coney Island",Former English Language Learners,2009,Percent,0.76667,SD21
"Gravesend, Coney Island",English Language Proficient,2009,Percent,0.60453,SD21
"Flatbush, Midwood, Sheepshead Bay",English Language Learners,2009,Percent,0.39698,SD22
"Flatbush, Midwood, Sheepshead Bay",Former English Language Learners,2009,Percent,0.79592,SD22
"Flatbush, Midwood, Sheepshead Bay",English Language Proficient,2009,Percent,0.70514,SD22
"Brownsville, Ocean Hill",English Language Learners,2009,Percent,0,SD23
"Brownsville, Ocean Hill",Former English Language Learners,2009,Percent,0,SD23
"Brownsville, Ocean Hill",English Language Proficient,2009,Percent,0.44822,SD23
"Sunnyside, Woodside, Jackson Hts",English Language Learners,2009,Percent,0.4314,SD24
"Sunnyside, Woodside, Jackson Hts",Former English Language Learners,2009,Percent,0.83495,SD24
"Sunnyside, Woodside, Jackson Hts",English Language Proficient,2009,Percent,0.60054,SD24
"Flushing, Whitestone",English Language Learners,2009,Percent,0.44389,SD25
"Flushing, Whitestone",Former English Language Learners,2009,Percent,0.77358,SD25
"Flushing, Whitestone",English Language Proficient,2009,Percent,0.58863,SD25
"Bayside, Douglaston, Little Neck",English Language Learners,2009,Percent,0.51009,SD26
"Bayside, Douglaston, Little Neck",Former English Language Learners,2009,Percent,0.84848,SD26
"Bayside, Douglaston, Little Neck",English Language Proficient,2009,Percent,0.78173,SD26
"Jamaica, Howard Beach, Rockaways",English Language Learners,2009,Percent,0.28395,SD27
"Jamaica, Howard Beach, Rockaways",Former English Language Learners,2009,Percent,0.79487,SD27
"Jamaica, Howard Beach, Rockaways",English Language Proficient,2009,Percent,0.47658,SD27
"Jamaica, Forest Hills",English Language Learners,2009,Percent,0.47034,SD28
"Jamaica, Forest Hills",Former English Language Learners,2009,Percent,0.89773,SD28
"Jamaica, Forest Hills",English Language Proficient,2009,Percent,0.72847,SD28
"Queens Village, Rosedale, Hollis",English Language Learners,2009,Percent,0,SD29
"Queens Village, Rosedale, Hollis",Former English Language Learners,2009,Percent,0,SD29
"Queens Village, Rosedale, Hollis",English Language Proficient,2009,Percent,0.61934,SD29
"Long Island City, Astoria",English Language Learners,2009,Percent,0.41683,SD30
"Long Island City, Astoria",Former English Language Learners,2009,Percent,0.71622,SD30
"Long Island City, Astoria",English Language Proficient,2009,Percent,0.56789,SD30
Staten Island,English Language Learners,2009,Percent,0.32418,SD31
Staten Island,Former English Language Learners,2009,Percent,0.8,SD31
Staten Island,English Language Proficient,2009,Percent,0.71429,SD31
Bushwick,English Language Learners,2009,Percent,0.44118,SD32
Bushwick,Former English Language Learners,2009,Percent,0.68182,SD32
Bushwick,English Language Proficient,2009,Percent,0.48193,SD32
