"Name","Total Population by Race/Ethnicity"
"Description","Total population by racial/ethnic group."
"Source Notes","<span style=""color: #333333;"">U.S. Census Bureau, American Community Survey 5-Year Estimates, Table B03002 (2009-2018); retrieved <a href=""https://data.census.gov/"" target=""_blank"">https://data.census.gov/</a>.</span>
<div><span style=""color: #333333;""><br />
</span></div>"
"Notes","Percents refer to the percent of the total population. Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Other = other non-Latino of any race, Latino = Latino of any race.&nbsp;"

Location,Race/Ethnicity,TimeFrame,DataFormat,Data,Fips
Jackson Heights,Black,2013,Number,9658,403
Flushing,Black,2013,Number,4757,407
Bayside,Black,2013,Number,1978,411
Queens Village,Black,2013,Number,112555,413
Fresh Meadows/Briarwood,Black,2013,Number,18161,408
Elmhurst/Corona,Black,2013,Number,9771,404
Rego Park/Forest Hills,Black,2013,Number,2833,406
Sunnyside/Woodside,Black,2013,Number,1948,402
Ridgewood/Glendale,Black,2013,Number,2261,405
Woodhaven,Black,2013,Number,10685,409
Jamaica/St. Albans,Black,2013,Number,146179,412
Howard Beach,Black,2013,Number,21682,410
The Rockaways,Black,2013,Number,42389,414
Bronx,Black,2013,Number,419514,36005
Brooklyn,Black,2013,Number,809177,36047
Manhattan,Black,2013,Number,206508,36061
Queens,Black,2013,Number,396414,36081
Staten Island,Black,2013,Number,45570,36085
New York City,Black,2013,Number,1877183,3651000
Riverdale,Black,2013,Percent,0.12773,208
Williamsbridge,Black,2013,Percent,0.67743,212
Throgs Neck,Black,2013,Percent,0.26451,210
Pelham Parkway,Black,2013,Percent,0.20917,211
Morrisania,Black,2013,Percent,0.30615,203
East Tremont,Black,2013,Percent,0.30615,206
Bedford Park,Black,2013,Percent,0.18388,207
University Heights,Black,2013,Percent,0.27474,205
Concourse/Highbridge,Black,2013,Percent,0.31591,204
Unionport/Soundview,Black,2013,Percent,0.29785,209
Mott Haven,Black,2013,Percent,0.27112,201
Hunts Point,Black,2013,Percent,0.27112,202
Washington Heights,Black,2013,Percent,0.08074,112
Manhattanville,Black,2013,Percent,0.22322,109
Central Harlem,Black,2013,Percent,0.60446,110
East Harlem,Black,2013,Percent,0.29984,111
Upper East Side,Black,2013,Percent,0.03134,108
Upper West Side,Black,2013,Percent,0.06764,107
Chelsea/Clinton,Black,2013,Percent,0.05532,104
Midtown Business District,Black,2013,Percent,0.05532,105
Murray Hill/Stuyvesant,Black,2013,Percent,0.03226,106
Lower East Side,Black,2013,Percent,0.06918,103
Battery Park/Tribeca,Black,2013,Percent,0.02233,101
Greenwich Village,Black,2013,Percent,0.02233,102
Tottenville,Black,2013,Percent,0.01023,503
South Beach,Black,2013,Percent,0.03362,502
St. George,Black,2013,Percent,0.22673,501
Williamsburg/Greenpoint,Black,2013,Percent,0.03417,301
Bushwick,Black,2013,Percent,0.17814,304
Bedford Stuyvesant,Black,2013,Percent,0.58157,303
Fort Greene/Brooklyn Hts,Black,2013,Percent,0.26702,302
Park Slope,Black,2013,Percent,0.07208,306
Crown Heights North,Black,2013,Percent,0.63581,308
Brownsville,Black,2013,Percent,0.76363,316
East New York,Black,2013,Percent,0.52361,305
Canarsie,Black,2013,Percent,0.61524,318
East Flatbush,Black,2013,Percent,0.89514,317
Crown Heights South,Black,2013,Percent,0.70076,309
Sunset Park,Black,2013,Percent,0.02918,307
Bay Ridge,Black,2013,Percent,0.01255,310
Borough Park,Black,2013,Percent,0.02192,312
Flatbush/Midwood,Black,2013,Percent,0.34354,314
Sheepshead Bay,Black,2013,Percent,0.0312,315
Bensonhurst,Black,2013,Percent,0.00998,311
Coney Island,Black,2013,Percent,0.11931,313
Astoria,Black,2013,Percent,0.06817,401
Jackson Heights,Black,2013,Percent,0.05338,403
Flushing,Black,2013,Percent,0.0191,407
Bayside,Black,2013,Percent,0.01646,411
Queens Village,Black,2013,Percent,0.55876,413
Fresh Meadows/Briarwood,Black,2013,Percent,0.11763,408
Elmhurst/Corona,Black,2013,Percent,0.06869,404
Rego Park/Forest Hills,Black,2013,Percent,0.02523,406
Sunnyside/Woodside,Black,2013,Percent,0.01482,402
Ridgewood/Glendale,Black,2013,Percent,0.0134,405
Woodhaven,Black,2013,Percent,0.07163,409
Jamaica/St. Albans,Black,2013,Percent,0.63913,412
Howard Beach,Black,2013,Percent,0.16399,410
The Rockaways,Black,2013,Percent,0.36527,414
Bronx,Black,2013,Percent,0.30023,36005
Brooklyn,Black,2013,Percent,0.3186,36047
Manhattan,Black,2013,Percent,0.12864,36061
Queens,Black,2013,Percent,0.17568,36081
Staten Island,Black,2013,Percent,0.09691,36085
New York City,Black,2013,Percent,0.22701,3651000
Riverdale,Black,2014,Number,14237,208
Williamsbridge,Black,2014,Number,93615,212
Throgs Neck,Black,2014,Number,33061,210
Pelham Parkway,Black,2014,Number,28048,211
Morrisania,Black,2014,Number,24872.84744,203
East Tremont,Black,2014,Number,25966.15256,206
Bedford Park,Black,2014,Number,21374,207
University Heights,Black,2014,Number,36698,205
Concourse/Highbridge,Black,2014,Number,43997,204
Unionport/Soundview,Black,2014,Number,56380,209
Mott Haven,Black,2014,Number,27759.7912,201
Hunts Point,Black,2014,Number,15851.2088,202
Washington Heights,Black,2014,Number,17239,112
Manhattanville,Black,2014,Number,29295,109
Central Harlem,Black,2014,Number,77339,110
East Harlem,Black,2014,Number,36592,111
Upper East Side,Black,2014,Number,6210,108
Upper West Side,Black,2014,Number,12507,107
Chelsea/Clinton,Black,2014,Number,5318.93224,104
Midtown Business District,Black,2014,Number,2662.06776,105
Murray Hill/Stuyvesant,Black,2014,Number,5142,106
Lower East Side,Black,2014,Number,11007,103
Battery Park/Tribeca,Black,2014,Number,1424.3573,101
Greenwich Village,Black,2014,Number,2102.6427,102
Tottenville,Black,2014,Number,1833,503
South Beach,Black,2014,Number,4982,502
St. George,Black,2014,Number,38324,501
Williamsburg/Greenpoint,Black,2014,Number,5920,301
Bushwick,Black,2014,Number,24848,304
Bedford Stuyvesant,Black,2014,Number,79433,303
Fort Greene/Brooklyn Hts,Black,2014,Number,34888,302
Park Slope,Black,2014,Number,7987,306
Crown Heights North,Black,2014,Number,77923,308
Brownsville,Black,2014,Number,94296,316
East New York,Black,2014,Number,80298,305
Canarsie,Black,2014,Number,129276,318
East Flatbush,Black,2014,Number,120408,317
Crown Heights South,Black,2014,Number,77414,309
Sunset Park,Black,2014,Number,4093,307
Bay Ridge,Black,2014,Number,1726,310
Borough Park,Black,2014,Number,3255,312
Flatbush/Midwood,Black,2014,Number,52703,314
Sheepshead Bay,Black,2014,Number,5167,315
Bensonhurst,Black,2014,Number,1437,311
Coney Island,Black,2014,Number,11888,313
Astoria,Black,2014,Number,11839,401
Jackson Heights,Black,2014,Number,9687,403
Flushing,Black,2014,Number,4889,407
Bayside,Black,2014,Number,1991,411
Queens Village,Black,2014,Number,113439,413
Fresh Meadows/Briarwood,Black,2014,Number,17776,408
Elmhurst/Corona,Black,2014,Number,11281,404
Rego Park/Forest Hills,Black,2014,Number,2834,406
Sunnyside/Woodside,Black,2014,Number,2124,402
Ridgewood/Glendale,Black,2014,Number,2279,405
Woodhaven,Black,2014,Number,10020,409
Jamaica/St. Albans,Black,2014,Number,148376,412
Howard Beach,Black,2014,Number,21101,410
The Rockaways,Black,2014,Number,42228,414
Bronx,Black,2014,Number,421860,36005
Brooklyn,Black,2014,Number,812960,36047
Manhattan,Black,2014,Number,206839,36061
Queens,Black,2014,Number,399864,36081
Staten Island,Black,2014,Number,45139,36085
New York City,Black,2014,Number,1886662,3651000
Riverdale,Black,2014,Percent,0.13123,208
Williamsbridge,Black,2014,Percent,0.66102,212
Throgs Neck,Black,2014,Percent,0.26698,210
Pelham Parkway,Black,2014,Percent,0.21582,211
Morrisania,Black,2014,Percent,0.30528,203
East Tremont,Black,2014,Percent,0.30528,206
Bedford Park,Black,2014,Percent,0.17065,207
University Heights,Black,2014,Percent,0.27705,205
Concourse/Highbridge,Black,2014,Percent,0.31101,204
Unionport/Soundview,Black,2014,Percent,0.30249,209
Mott Haven,Black,2014,Percent,0.27679,201
Hunts Point,Black,2014,Percent,0.27679,202
Washington Heights,Black,2014,Percent,0.0804,112
Manhattanville,Black,2014,Percent,0.22492,109
Central Harlem,Black,2014,Percent,0.59514,110
East Harlem,Black,2014,Percent,0.30341,111
Upper East Side,Black,2014,Percent,0.02831,108
Upper West Side,Black,2014,Percent,0.06368,107
Chelsea/Clinton,Black,2014,Percent,0.05455,104
Midtown Business District,Black,2014,Percent,0.05455,105
Murray Hill/Stuyvesant,Black,2014,Percent,0.0353,106
Lower East Side,Black,2014,Percent,0.06739,103
Battery Park/Tribeca,Black,2014,Percent,0.02319,101
Greenwich Village,Black,2014,Percent,0.02319,102
Tottenville,Black,2014,Percent,0.01104,503
South Beach,Black,2014,Percent,0.03783,502
St. George,Black,2014,Percent,0.22043,501
Williamsburg/Greenpoint,Black,2014,Percent,0.03963,301
Bushwick,Black,2014,Percent,0.1792,304
Bedford Stuyvesant,Black,2014,Percent,0.57631,303
Fort Greene/Brooklyn Hts,Black,2014,Percent,0.26883,302
Park Slope,Black,2014,Percent,0.06955,306
Crown Heights North,Black,2014,Percent,0.6286,308
Brownsville,Black,2014,Percent,0.75934,316
East New York,Black,2014,Percent,0.5311,305
Canarsie,Black,2014,Percent,0.62005,318
East Flatbush,Black,2014,Percent,0.88694,317
Crown Heights South,Black,2014,Percent,0.69854,309
Sunset Park,Black,2014,Percent,0.02709,307
Bay Ridge,Black,2014,Percent,0.01316,310
Borough Park,Black,2014,Percent,0.01954,312
Flatbush/Midwood,Black,2014,Percent,0.33245,314
Sheepshead Bay,Black,2014,Percent,0.035,315
Bensonhurst,Black,2014,Percent,0.00778,311
Coney Island,Black,2014,Percent,0.11184,313
Astoria,Black,2014,Percent,0.06859,401
Jackson Heights,Black,2014,Percent,0.05349,403
Flushing,Black,2014,Percent,0.01955,407
Bayside,Black,2014,Percent,0.01642,411
Queens Village,Black,2014,Percent,0.56623,413
Fresh Meadows/Briarwood,Black,2014,Percent,0.11396,408
Elmhurst/Corona,Black,2014,Percent,0.07803,404
Rego Park/Forest Hills,Black,2014,Percent,0.02536,406
Sunnyside/Woodside,Black,2014,Percent,0.01561,402
Ridgewood/Glendale,Black,2014,Percent,0.01357,405
Woodhaven,Black,2014,Percent,0.06743,409
Jamaica/St. Albans,Black,2014,Percent,0.62354,412
Howard Beach,Black,2014,Percent,0.15644,410
The Rockaways,Black,2014,Percent,0.35948,414
Bronx,Black,2014,Percent,0.29844,36005
Brooklyn,Black,2014,Percent,0.31623,36047
Manhattan,Black,2014,Percent,0.1278,36061
Queens,Black,2014,Percent,0.17533,36081
Staten Island,Black,2014,Percent,0.09573,36085
New York City,Black,2014,Percent,0.22582,3651000
Riverdale,Black,2015,Number,14126,208
Williamsbridge,Black,2015,Number,93588,212
Throgs Neck,Black,2015,Number,33787,210
Pelham Parkway,Black,2015,Number,29090,211
Morrisania,Black,2015,Number,24691.82591,203
East Tremont,Black,2015,Number,25777.17409,206
Bedford Park,Black,2015,Number,20866,207
University Heights,Black,2015,Number,36631,205
Concourse/Highbridge,Black,2015,Number,44930,204
Unionport/Soundview,Black,2015,Number,54847,209
Mott Haven,Black,2015,Number,28225.73253,201
Hunts Point,Black,2015,Number,16117.26747,202
Washington Heights,Black,2015,Number,17049,112
Manhattanville,Black,2015,Number,29538,109
Central Harlem,Black,2015,Number,77017,110
East Harlem,Black,2015,Number,36075,111
Upper East Side,Black,2015,Number,6321,108
Upper West Side,Black,2015,Number,12114,107
Chelsea/Clinton,Black,2015,Number,5546.85792,104
Midtown Business District,Black,2015,Number,2776.14208,105
Murray Hill/Stuyvesant,Black,2015,Number,4980,106
Lower East Side,Black,2015,Number,12686,103
Battery Park/Tribeca,Black,2015,Number,1400.93436,101
Greenwich Village,Black,2015,Number,2068.06564,102
Tottenville,Black,2015,Number,1613,503
South Beach,Black,2015,Number,4931,502
St. George,Black,2015,Number,38779,501
Williamsburg/Greenpoint,Black,2015,Number,6278,301
Bushwick,Black,2015,Number,23970,304
Bedford Stuyvesant,Black,2015,Number,77543,303
Fort Greene/Brooklyn Hts,Black,2015,Number,34403,302
Park Slope,Black,2015,Number,7983,306
Crown Heights North,Black,2015,Number,76881,308
Brownsville,Black,2015,Number,93722,316
East New York,Black,2015,Number,80859,305
Canarsie,Black,2015,Number,130748,318
East Flatbush,Black,2015,Number,120616,317
Crown Heights South,Black,2015,Number,75459,309
Sunset Park,Black,2015,Number,4041,307
Bay Ridge,Black,2015,Number,1782,310
Borough Park,Black,2015,Number,3438,312
Flatbush/Midwood,Black,2015,Number,52379,314
Sheepshead Bay,Black,2015,Number,5318,315
Bensonhurst,Black,2015,Number,1861,311
Coney Island,Black,2015,Number,12077,313
Astoria,Black,2015,Number,11457,401
Jackson Heights,Black,2015,Number,9272,403
Flushing,Black,2015,Number,5025,407
Bayside,Black,2015,Number,2093,411
Queens Village,Black,2015,Number,111779,413
Fresh Meadows/Briarwood,Black,2015,Number,18319,408
Elmhurst/Corona,Black,2015,Number,11484,404
Rego Park/Forest Hills,Black,2015,Number,3514,406
Sunnyside/Woodside,Black,2015,Number,2038,402
Ridgewood/Glendale,Black,2015,Number,2325,405
Woodhaven,Black,2015,Number,10068,409
Jamaica/St. Albans,Black,2015,Number,148724,412
Howard Beach,Black,2015,Number,21624,410
The Rockaways,Black,2015,Number,42450,414
Bronx,Black,2015,Number,422677,36005
Brooklyn,Black,2015,Number,809358,36047
Manhattan,Black,2015,Number,207572,36061
Queens,Black,2015,Number,400155,36081
Staten Island,Black,2015,Number,45323,36085
New York City,Black,2015,Number,1885085,3651000
Riverdale,Black,2015,Percent,0.12909,208
Williamsbridge,Black,2015,Percent,0.65374,212
Throgs Neck,Black,2015,Percent,0.27238,210
Pelham Parkway,Black,2015,Percent,0.22234,211
Morrisania,Black,2015,Percent,0.29631,203
East Tremont,Black,2015,Percent,0.29631,206
Bedford Park,Black,2015,Percent,0.16224,207
University Heights,Black,2015,Percent,0.27015,205
Concourse/Highbridge,Black,2015,Percent,0.31787,204
Unionport/Soundview,Black,2015,Percent,0.29458,209
Mott Haven,Black,2015,Percent,0.27919,201
Hunts Point,Black,2015,Percent,0.27919,202
Washington Heights,Black,2015,Percent,0.07874,112
Manhattanville,Black,2015,Percent,0.22521,109
Central Harlem,Black,2015,Percent,0.58394,110
East Harlem,Black,2015,Percent,0.2965,111
Upper East Side,Black,2015,Percent,0.02864,108
Upper West Side,Black,2015,Percent,0.0623,107
Chelsea/Clinton,Black,2015,Percent,0.05571,104
Midtown Business District,Black,2015,Percent,0.05571,105
Murray Hill/Stuyvesant,Black,2015,Percent,0.034,106
Lower East Side,Black,2015,Percent,0.07737,103
Battery Park/Tribeca,Black,2015,Percent,0.02263,101
Greenwich Village,Black,2015,Percent,0.02263,102
Tottenville,Black,2015,Percent,0.00968,503
South Beach,Black,2015,Percent,0.03693,502
St. George,Black,2015,Percent,0.22496,501
Williamsburg/Greenpoint,Black,2015,Percent,0.04088,301
Bushwick,Black,2015,Percent,0.17531,304
Bedford Stuyvesant,Black,2015,Percent,0.55426,303
Fort Greene/Brooklyn Hts,Black,2015,Percent,0.26085,302
Park Slope,Black,2015,Percent,0.06887,306
Crown Heights North,Black,2015,Percent,0.61304,308
Brownsville,Black,2015,Percent,0.74532,316
East New York,Black,2015,Percent,0.52465,305
Canarsie,Black,2015,Percent,0.62816,318
East Flatbush,Black,2015,Percent,0.88344,317
Crown Heights South,Black,2015,Percent,0.67562,309
Sunset Park,Black,2015,Percent,0.02648,307
Bay Ridge,Black,2015,Percent,0.01374,310
Borough Park,Black,2015,Percent,0.02079,312
Flatbush/Midwood,Black,2015,Percent,0.32492,314
Sheepshead Bay,Black,2015,Percent,0.03557,315
Bensonhurst,Black,2015,Percent,0.00983,311
Coney Island,Black,2015,Percent,0.11201,313
Astoria,Black,2015,Percent,0.06591,401
Jackson Heights,Black,2015,Percent,0.05049,403
Flushing,Black,2015,Percent,0.02009,407
Bayside,Black,2015,Percent,0.01729,411
Queens Village,Black,2015,Percent,0.55961,413
Fresh Meadows/Briarwood,Black,2015,Percent,0.11448,408
Elmhurst/Corona,Black,2015,Percent,0.08006,404
Rego Park/Forest Hills,Black,2015,Percent,0.03069,406
Sunnyside/Woodside,Black,2015,Percent,0.0147,402
Ridgewood/Glendale,Black,2015,Percent,0.01361,405
Woodhaven,Black,2015,Percent,0.06573,409
Jamaica/St. Albans,Black,2015,Percent,0.6282,412
Howard Beach,Black,2015,Percent,0.15827,410
The Rockaways,Black,2015,Percent,0.35697,414
Bronx,Black,2015,Percent,0.29592,36005
Brooklyn,Black,2015,Percent,0.31186,36047
Manhattan,Black,2015,Percent,0.12738,36061
Queens,Black,2015,Percent,0.17389,36081
Staten Island,Black,2015,Percent,0.09593,36085
New York City,Black,2015,Percent,0.2237,3651000
Riverdale,Black,2016,Number,13637,208
Williamsbridge,Black,2016,Number,94567,212
Throgs Neck,Black,2016,Number,34898,210
Pelham Parkway,Black,2016,Number,27881,211
Morrisania,Black,2016,Number,25281.369,203
East Tremont,Black,2016,Number,26392.631,206
Bedford Park,Black,2016,Number,19973,207
University Heights,Black,2016,Number,37476,205
Concourse/Highbridge,Black,2016,Number,43484,204
Unionport/Soundview,Black,2016,Number,54656,209
Mott Haven,Black,2016,Number,28922.73492,201
Hunts Point,Black,2016,Number,16515.26508,202
Washington Heights,Black,2016,Number,17104,112
Manhattanville,Black,2016,Number,27924,109
Central Harlem,Black,2016,Number,77583,110
East Harlem,Black,2016,Number,36462,111
Upper East Side,Black,2016,Number,6293,108
Upper West Side,Black,2016,Number,11710,107
Chelsea/Clinton,Black,2016,Number,5389.57587,104
Midtown Business District,Black,2016,Number,2697.42413,105
Murray Hill/Stuyvesant,Black,2016,Number,4739,106
Lower East Side,Black,2016,Number,12644,103
Battery Park/Tribeca,Black,2016,Number,1398.10745,101
Greenwich Village,Black,2016,Number,2063.89255,102
Tottenville,Black,2016,Number,1419,503
South Beach,Black,2016,Number,5062,502
St. George,Black,2016,Number,38089,501
Williamsburg/Greenpoint,Black,2016,Number,6680,301
Bushwick,Black,2016,Number,24825,304
Bedford Stuyvesant,Black,2016,Number,75601,303
Fort Greene/Brooklyn Hts,Black,2016,Number,35424,302
Park Slope,Black,2016,Number,7892,306
Crown Heights North,Black,2016,Number,75708,308
Brownsville,Black,2016,Number,91729,316
East New York,Black,2016,Number,81310,305
Canarsie,Black,2016,Number,131590,318
East Flatbush,Black,2016,Number,121050,317
Crown Heights South,Black,2016,Number,73859,309
Sunset Park,Black,2016,Number,3917,307
Bay Ridge,Black,2016,Number,1879,310
Borough Park,Black,2016,Number,3857,312
Flatbush/Midwood,Black,2016,Number,51881,314
Sheepshead Bay,Black,2016,Number,5715,315
Bensonhurst,Black,2016,Number,1736,311
Coney Island,Black,2016,Number,11663,313
Astoria,Black,2016,Number,10919,401
Jackson Heights,Black,2016,Number,8636,403
Flushing,Black,2016,Number,5359,407
Bayside,Black,2016,Number,2119,411
Queens Village,Black,2016,Number,112651,413
Fresh Meadows/Briarwood,Black,2016,Number,18567,408
Elmhurst/Corona,Black,2016,Number,11238,404
Rego Park/Forest Hills,Black,2016,Number,3353,406
Sunnyside/Woodside,Black,2016,Number,1835,402
Ridgewood/Glendale,Black,2016,Number,2561,405
Woodhaven,Black,2016,Number,9048,409
Jamaica/St. Albans,Black,2016,Number,148824,412
Howard Beach,Black,2016,Number,20739,410
The Rockaways,Black,2016,Number,42956,414
Bronx,Black,2016,Number,423684,36005
Brooklyn,Black,2016,Number,806316,36047
Manhattan,Black,2016,Number,206008,36061
Queens,Black,2016,Number,398786,36081
Staten Island,Black,2016,Number,44570,36085
